NCBI_ID	chromosome	haplotype	Pan_SN	ifreversed
OZ174293.1	W	hap1	rPodMel1#1#W	
OZ174289.1	Z	hap1	rPodMel1#1#Z	
OZ174246.1	1	hap2	rPodMel1#2#1	
OZ174247.1	2	hap2	rPodMel1#2#2	rev
OZ174248.1	3	hap2	rPodMel1#2#3	
OZ174249.1	4	hap2	rPodMel1#2#4	rev
OZ174250.1	5	hap2	rPodMel1#2#5	rev
OZ174251.1	6	hap2	rPodMel1#2#6	rev
OZ174252.1	7	hap2	rPodMel1#2#7	
OZ174253.1	8	hap2	rPodMel1#2#8	
OZ174254.1	9	hap2	rPodMel1#2#9	
OZ174255.1	10	hap2	rPodMel1#2#10	
OZ174256.1	11	hap2	rPodMel1#2#11	rev
OZ174257.1	12	hap2	rPodMel1#2#12	rev
OZ174258.1	13	hap2	rPodMel1#2#13	rev
OZ174259.1	14	hap2	rPodMel1#2#14	
OZ174260.1	15	hap2	rPodMel1#2#15	rev
OZ174261.1	16	hap2	rPodMel1#2#16	rev
OZ174262.1	17	hap2	rPodMel1#2#17	rev
OZ174263.1	18	hap2	rPodMel1#2#18	rev
OZ176200.1	1	hap1	rPodErh1#1#1	
OZ176201.1	2	hap1	rPodErh1#1#2	
OZ176202.1	3	hap1	rPodErh1#1#3	
OZ176203.1	4	hap1	rPodErh1#1#4	
OZ176204.1	5	hap1	rPodErh1#1#5	
OZ176205.1	6	hap1	rPodErh1#1#6	rev
OZ176206.1	7	hap1	rPodErh1#1#8	rev
OZ176207.1	8	hap1	rPodErh1#1#7	
OZ176208.1	9	hap1	rPodErh1#1#9	
OZ176209.1	10	hap1	rPodErh1#1#10	rev
OZ176210.1	11	hap1	rPodErh1#1#11	rev
OZ176211.1	12	hap1	rPodErh1#1#12	
OZ176212.1	13	hap1	rPodErh1#1#13	rev
OZ176213.1	14	hap1	rPodErh1#1#14	
OZ176215.1	15	hap1	rPodErh1#1#16	
OZ176216.1	16	hap1	rPodErh1#1#15	rev
OZ176217.1	17	hap1	rPodErh1#1#17	rev
OZ176219.1	18	hap1	rPodErh1#1#18	
OZ176218.1	W	hap1	rPodErh1#1#W	
OZ176214.1	Z	hap1	rPodErh1#1#Z	rev
CAXUON010000001.1	SUPER_1	hap2	rPodErh1#2#1	
CAXUON010000002.1	SUPER_2	hap2	rPodErh1#2#2	
CAXUON010000003.1	SUPER_3	hap2	rPodErh1#2#3	
CAXUON010000004.1	SUPER_4	hap2	rPodErh1#2#4	
CAXUON010000005.1	SUPER_5	hap2	rPodErh1#2#5	
CAXUON010000006.1	SUPER_6	hap2	rPodErh1#2#6	rev
CAXUON010000007.1	SUPER_7	hap2	rPodErh1#2#8	rev
CAXUON010000008.1	SUPER_8	hap2	rPodErh1#2#7	
CAXUON010000009.1	SUPER_9	hap2	rPodErh1#2#9	
CAXUON010000010.1	SUPER_10	hap2	rPodErh1#2#10	rev
CAXUON010000011.1	SUPER_11	hap2	rPodErh1#2#11	rev
CAXUON010000012.1	SUPER_12	hap2	rPodErh1#2#12	
CAXUON010000013.1	SUPER_13	hap2	rPodErh1#2#13	rev
CAXUON010000014.1	SUPER_14	hap2	rPodErh1#2#14	
CAXUON010000015.1	SUPER_15	hap2	rPodErh1#2#15	rev
CAXUON010000016.1	SUPER_16	hap2	rPodErh1#2#16	
CAXUON010000017.1	SUPER_17	hap2	rPodErh1#2#17	rev
CAXUON010000018.1	SUPER_18	hap2	rPodErh1#2#18	
OZ076954.1	1	hap1	rPodMur119#1#1	
OZ076955.1	2	hap1	rPodMur119#1#2	
OZ076956.1	3	hap1	rPodMur119#1#3	rev
OZ076957.1	4	hap1	rPodMur119#1#4	
OZ076958.1	5	hap1	rPodMur119#1#5	rev
OZ076959.1	6	hap1	rPodMur119#1#6	
OZ076960.1	7	hap1	rPodMur119#1#8	rev
OZ076961.1	8	hap1	rPodMur119#1#7	
OZ076962.1	9	hap1	rPodMur119#1#9	rev
OZ076963.1	10	hap1	rPodMur119#1#10	
OZ076964.1	11	hap1	rPodMur119#1#11	rev
OZ076965.1	12	hap1	rPodMur119#1#12	
OZ076966.1	13	hap1	rPodMur119#1#13	rev
OZ076967.1	14	hap1	rPodMur119#1#14	
OZ076969.1	15	hap1	rPodMur119#1#15	rev
OZ076970.1	16	hap1	rPodMur119#1#17	
OZ076971.1	17	hap1	rPodMur119#1#16	
OZ076973.1	18	hap1	rPodMur119#1#18	
OZ076968.1	Z	hap1	rPodMur119#1#Z	
OZ076972.1	W	hap1	rPodMur119#1#W	
CAXLPD010000001.1	RL_2	hap2	rPodMur119#2#1	rev
CAXLPD010000002.1	RL_4	hap2	rPodMur119#2#2	rev
CAXLPD010000003.1	RL_6	hap2	rPodMur119#2#3	rev
CAXLPD010000004.1	RL_8	hap2	rPodMur119#2#4	rev
CAXLPD010000005.1	RL_10	hap2	rPodMur119#2#5	
CAXLPD010000006.1	RL_12	hap2	rPodMur119#2#6	rev
CAXLPD010000007.1	RL_14	hap2	rPodMur119#2#7	
CAXLPD010000008.1	RL_16	hap2	rPodMur119#2#8	rev
CAXLPD010000009.1	RL_18	hap2	rPodMur119#2#9	rev
CAXLPD010000010.1	RL_20	hap2	rPodMur119#2#10	rev
CAXLPD010000011.1	RL_22	hap2	rPodMur119#2#11	rev
CAXLPD010000012.1	RL_24	hap2	rPodMur119#2#12	
CAXLPD010000013.1	RL_26	hap2	rPodMur119#2#13	rev
CAXLPD010000014.1	RL_28	hap2	rPodMur119#2#14	
CAXLPD010000015.1	RL_32	hap2	rPodMur119#2#15	
CAXLPD010000016.1	RL_34	hap2	rPodMur119#2#16	rev
CAXLPD010000017.1	RL_36	hap2	rPodMur119#2#17	
CAXLPD010000018.1	RL_38	hap2	rPodMur119#2#18	
OZ185435.1	1	hap1	rPodFil1#1#1	rev
OZ185436.1	2	hap1	rPodFil1#1#2	rev
OZ185437.1	3	hap1	rPodFil1#1#3	
OZ185438.1	4	hap1	rPodFil1#1#4	rev
OZ185439.1	5	hap1	rPodFil1#1#5	rev
OZ185440.1	6	hap1	rPodFil1#1#6	
OZ185441.1	7	hap1	rPodFil1#1#7	rev
OZ185442.1	8	hap1	rPodFil1#1#8	rev
OZ185443.1	9	hap1	rPodFil1#1#9	
OZ185444.1	10	hap1	rPodFil1#1#10	
OZ185445.1	11	hap1	rPodFil1#1#11	
OZ185446.1	12	hap1	rPodFil1#1#12	rev
OZ185447.1	13	hap1	rPodFil1#1#13	rev
OZ185448.1	14	hap1	rPodFil1#1#14	
OZ185450.1	15	hap1	rPodFil1#1#15	
OZ185452.1	16	hap1	rPodFil1#1#16	
OZ185453.1	17	hap1	rPodFil1#1#17	rev
OZ185454.1	18	hap1	rPodFil1#1#18	
OZ185451.1	W	hap1	rPodFil1#1#W	
OZ185449.1	Z	hap1	rPodFil1#1#Z	rev
CAXWSY010000001.1	SUPER_1	hap2	rPodFil1#2#1	rev
CAXWSY010000002.1	SUPER_2	hap2	rPodFil1#2#2	rev
CAXWSY010000003.1	SUPER_3	hap2	rPodFil1#2#3	
CAXWSY010000004.1	SUPER_4	hap2	rPodFil1#2#4	rev
CAXWSY010000005.1	SUPER_5	hap2	rPodFil1#2#5	rev
CAXWSY010000006.1	SUPER_6	hap2	rPodFil1#2#6	
CAXWSY010000007.1	SUPER_7	hap2	rPodFil1#2#7	rev
CAXWSY010000008.1	SUPER_8	hap2	rPodFil1#2#8	rev
CAXWSY010000009.1	SUPER_9	hap2	rPodFil1#2#9	
CAXWSY010000010.1	SUPER_10	hap2	rPodFil1#2#10	
CAXWSY010000011.1	SUPER_11	hap2	rPodFil1#2#11	
CAXWSY010000012.1	SUPER_12	hap2	rPodFil1#2#12	rev
CAXWSY010000013.1	SUPER_13	hap2	rPodFil1#2#13	rev
CAXWSY010000014.1	SUPER_14	hap2	rPodFil1#2#14	
CAXWSY010000015.1	SUPER_15	hap2	rPodFil1#2#15	
CAXWSY010000016.1	SUPER_16	hap2	rPodFil1#2#16	
CAXWSY010000017.1	SUPER_17	hap2	rPodFil1#2#17	rev
CAXWSY010000018.1	SUPER_18	hap2	rPodFil1#2#18	
OZ066914.1	1	hap1	rPodGai1#1#1	
OZ066915.1	2	hap1	rPodGai1#1#2	
OZ066916.1	3	hap1	rPodGai1#1#3	
OZ066917.1	4	hap1	rPodGai1#1#4	rev
OZ066918.1	5	hap1	rPodGai1#1#5	
OZ066919.1	6	hap1	rPodGai1#1#6	rev
OZ066920.1	7	hap1	rPodGai1#1#7	
OZ066921.1	8	hap1	rPodGai1#1#8	rev
OZ066922.1	9	hap1	rPodGai1#1#9	
OZ066923.1	10	hap1	rPodGai1#1#10	rev
OZ066924.1	11	hap1	rPodGai1#1#11	rev
OZ066925.1	12	hap1	rPodGai1#1#12	
OZ066926.1	13	hap1	rPodGai1#1#13	rev
OZ066927.1	14	hap1	rPodGai1#1#14	
OZ066929.1	15	hap1	rPodGai1#1#15	rev
OZ066930.1	16	hap1	rPodGai1#1#16	
OZ066931.1	17	hap1	rPodGai1#1#17	
OZ066933.1	18	hap1	rPodGai1#1#18	rev
OZ066932.1	W	hap1	rPodGai1#1#W	
OZ066928.1	Z	hap1	rPodGai1#1#Z	
OZ066879.1	1	hap2	rPodGai1#2#1	
OZ066880.1	2	hap2	rPodGai1#2#2	
OZ066881.1	3	hap2	rPodGai1#2#3	
OZ066882.1	4	hap2	rPodGai1#2#4	rev
OZ066883.1	5	hap2	rPodGai1#2#5	
OZ066884.1	6	hap2	rPodGai1#2#6	rev
OZ066885.1	7	hap2	rPodGai1#2#7	
OZ066886.1	8	hap2	rPodGai1#2#8	rev
OZ066887.1	9	hap2	rPodGai1#2#9	
OZ066888.1	10	hap2	rPodGai1#2#10	rev
OZ066889.1	11	hap2	rPodGai1#2#11	rev
OZ066890.1	12	hap2	rPodGai1#2#12	
OZ066891.1	13	hap2	rPodGai1#2#13	rev
OZ066892.1	14	hap2	rPodGai1#2#14	
