lastmajorreleaseaccession	name	taxon_id	species	speciesname	assemblyname	genbank_id	refseq_cat	refseq_id	assembly_status	release_date	assembly_type	contig_n50	scaffold_n50	annotation	stats	gff	ftps	number_of_genes	total_length	gc_content	nb_assemblies	chr_avail	proportion_masked	Complete	Single	Duplicated	Framgented	Missing
GCA_003400415.2	2197631	8742	Crotalus viridis viridis (prairie rattlesnake)	Crotalus viridis	UTA_CroVir_3.0	GCA_003400415.2	reference genome		Chromosome	2019/01/08 00:00	haploid	14888	179897795	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0/GCA_003400415.2_UTA_CroVir_3.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/400/415/GCA_003400415.2_UTA_CroVir_3.0		1340198908	39	4	Yes	31.15	84.8	84	0.8	4.6	10.6
GCA_003402635.1	1871661	88087	Protobothrops flavoviridis (habu)	Protobothrops flavoviridis	HabAm_1.0	GCA_003402635.1	reference genome		Scaffold	2018/08/02 00:00	haploid	18879	467050	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/402/635/GCA_003402635.1_HabAm_1.0/GCA_003402635.1_HabAm_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/402/635/GCA_003402635.1_HabAm_1.0		1413200976	39.5	1	No	34.47	88.4	87.4	1	4.1	7.6
GCA_003457575.1	2204081	527827	Thermophis baileyi (snakes)	Thermophis baileyi	DSBC_Tbai_1.0	GCA_003457575.1	reference genome		Scaffold	2018/09/05 00:00	haploid	18227	2413955	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/457/575/GCA_003457575.1_DSBC_Tbai_1.0/GCA_003457575.1_DSBC_Tbai_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/457/575/GCA_003457575.1_DSBC_Tbai_1.0		1747678728	41	1	No	37.01	92.7	91.3	1.4	1.8	5.6
GCA_003586115.1	1996031	96440	Salvator merianae (Argentine black and white tegu)	Salvator merianae	HLtupMer3	GCA_003586115.1	na		Scaffold	2018/09/20 00:00	haploid	167260		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/586/115/GCA_003586115.1_HLtupMer3/GCA_003586115.1_HLtupMer3_assembly_stats.txt	GCA_003586115.1_HLtupMer3_genomic.gff.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/586/115/GCA_003586115.1_HLtupMer3	0			2	No	NA	NA	NA	NA	NA	NA
GCA_003586115.2	2162371	96440	Salvator merianae (Argentine black and white tegu)	Salvator merianae	HLtupMer6	GCA_003586115.2	reference genome		Scaffold	2018/12/11 00:00	haploid	500019	55382274	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/586/115/GCA_003586115.2_HLtupMer6/GCA_003586115.2_HLtupMer6_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/586/115/GCA_003586115.2_HLtupMer6		2068170046	42	2	No	31.12	95.9	94.5	1.4	0.9	3.2
GCA_004023725.1	2210061	8686	Hydrophis cyanocinctus (Asian annulated sea snake)	Hydrophis cyanocinctus	ASM402372v1	GCA_004023725.1	na		Scaffold	2019/01/15 00:00	haploid	3626		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/725/GCA_004023725.1_ASM402372v1/GCA_004023725.1_ASM402372v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/725/GCA_004023725.1_ASM402372v1				2	Yes	NA	NA	NA	NA	NA	NA
GCA_004023765.1	2210081	8781	Hydrophis hardwickii (Hardwick's sea snake)	Hydrophis hardwickii	ASM402376v1	GCA_004023765.1	na		Scaffold	2019/01/15 00:00	haploid	2852		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/765/GCA_004023765.1_ASM402376v1/GCA_004023765.1_ASM402376v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/023/765/GCA_004023765.1_ASM402376v1				1	No	NA	NA	NA	NA	NA	NA
GCA_004319985.1	2333201	34996	Emydocephalus ijimae (snakes)	Emydocephalus ijimae	emyIji_1.0	GCA_004319985.1	reference genome		Scaffold	2019/01/09 00:00	haploid	18545	18937	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/319/985/GCA_004319985.1_emyIji_1.0/GCA_004319985.1_emyIji_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/319/985/GCA_004319985.1_emyIji_1.0		1625199642	40.5	1	No	43.48	61	60.3	0.7	20.1	18.9
GCA_004320005.1	2333211	34990	Hydrophis melanocephalus (snakes)	Hydrophis melanocephalus	hydMel_1.0	GCA_004320005.1	reference genome		Scaffold	2019/02/13 00:00	haploid	7411	59810	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/320/005/GCA_004320005.1_hydMel_1.0/GCA_004320005.1_hydMel_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/320/005/GCA_004320005.1_hydMel_1.0		1402639853	39	1	No	30	73.8	73.1	0.7	11.2	15
GCA_004320025.1	2333221	8630	Laticauda laticaudata (blue-ringed sea krait)	Laticauda laticaudata	latLat_1.0	GCA_004320025.1	reference genome		Scaffold	2019/01/09 00:00	haploid	35581	39330	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/320/025/GCA_004320025.1_latLat_1.0/GCA_004320025.1_latLat_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/320/025/GCA_004320025.1_latLat_1.0		1558706106	40	1	No	38.01	73.4	72.7	0.7	13	13.6
GCA_004320045.1	2333231	8628	Laticauda colubrina (yellow-lipped sea krait)	Laticauda colubrina	latCor_1.0	GCA_004320045.1	na		Scaffold	2019/01/09 00:00	haploid	26721		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/320/045/GCA_004320045.1_latCor_1.0/GCA_004320045.1_latCor_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/320/045/GCA_004320045.1_latCor_1.0				2	No	NA	NA	NA	NA	NA	NA
GCA_007859595.1	4269561	61221	Varanus komodoensis (Komodo dragon)	Varanus komodoensis	VCOM_VKom_1.0	GCA_007859595.1	na		Scaffold	2019/08/07 00:00	haploid	37135		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/859/595/GCA_007859595.1_VCOM_VKom_1.0/GCA_007859595.1_VCOM_VKom_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/859/595/GCA_007859595.1_VCOM_VKom_1.0				2	No	NA	NA	NA	NA	NA	NA
GCA_009733165.1	5384041	35670	Naja naja (Indian cobra)	Naja naja	Nana_v5	GCA_009733165.1	reference genome		Chromosome	2019/12/11 00:00	haploid	302474	224088900	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/733/165/GCA_009733165.1_Nana_v5/GCA_009733165.1_Nana_v5_assembly_stats.txt	GCA_009733165.1_Nana_v5_genomic.gff.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/733/165/GCA_009733165.1_Nana_v5	23071	1768535092	40.5	2	Yes	39.79	90.7	89.10000000000001	1.6	1.7	7.7
GCA_009769695.1	5398731	35005	Thamnophis elegans (Western terrestrial garter snake)	Thamnophis elegans	rThaEle1.alt	GCA_009769695.1	na		Scaffold	2019/12/19 00:00	alternate-pseudohaplotype (alternate pseudohaplotype of diploid)	432811		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/695/GCA_009769695.1_rThaEle1.alt/GCA_009769695.1_rThaEle1.alt_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/695/GCA_009769695.1_rThaEle1.alt				1	Yes	NA	NA	NA	NA	NA	NA
GCA_009819545.1	5428141	80427	Lacerta agilis (Sand lizard)	Lacerta agilis	rLacAgi1.alt	GCA_009819545.1	na		Scaffold	2019/12/23 00:00	alternate-pseudohaplotype (alternate pseudohaplotype of diploid)	365044		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/545/GCA_009819545.1_rLacAgi1.alt/GCA_009819545.1_rLacAgi1.alt_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/545/GCA_009819545.1_rLacAgi1.alt				1	Yes	NA	NA	NA	NA	NA	NA
GCA_012654045.1	6906621	31142	Ptyas mucosa (Dhaman)	Ptyas mucosa	UNIGE_Pmuc_v1.0	GCA_012654045.1	reference genome		Scaffold	2020/04/22 00:00	haploid	41154	15963960	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/654/045/GCA_012654045.1_UNIGE_Pmuc_v1.0/GCA_012654045.1_UNIGE_Pmuc_v1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/654/045/GCA_012654045.1_UNIGE_Pmuc_v1.0		1721466642	40.5	1	No	40.09	90.6	89.1	1.5	2.5	6.9
GCA_012654085.1	6906631	39099	Pantherophis obsoletus (Western rat snake)	Pantherophis obsoletus	UNIGE_PanObs_1.0	GCA_012654085.1	reference genome		Scaffold	2020/04/22 00:00	haploid	38205	14519768	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/654/085/GCA_012654085.1_UNIGE_PanObs_1.0/GCA_012654085.1_UNIGE_PanObs_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/654/085/GCA_012654085.1_UNIGE_PanObs_1.0		1692461844	40.5	1	No	40.23	89.2	87.7	1.5	3.4	7.4
GCA_014337955.1	7966651	403789	Aspidoscelis marmoratus (Marbled whiptail)	Aspidoscelis marmoratus	AspMar1.0	GCA_014337955.1	reference genome		Scaffold	2020/08/31 00:00	haploid	17774	32220929	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/337/955/GCA_014337955.1_AspMar1.0/GCA_014337955.1_AspMar1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/337/955/GCA_014337955.1_AspMar1.0		1639530780	42.5	1	No	32.58	95.3	94.2	1.1	1.2	3.5
GCA_014706415.1	8220521	1534827	Podarcis muralis nigriventris (Common wall lizard)	Podarcis muralis	LU_Pmuni_1.1	GCA_014706415.1	na		Chromosome	2020/10/02 00:00	haploid	8570969		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/706/415/GCA_014706415.1_LU_Pmuni_1.1/GCA_014706415.1_LU_Pmuni_1.1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/706/415/GCA_014706415.1_LU_Pmuni_1.1				3	Yes	NA	NA	NA	NA	NA	NA
GCA_015471245.1	8537941	8628	Laticauda colubrina (yellow-lipped sea krait)	Laticauda colubrina	latCor_2.0	GCA_015471245.1	reference genome		Scaffold	2020/11/04 00:00	haploid	38278	39959644	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/471/245/GCA_015471245.1_latCor_2.0/GCA_015471245.1_latCor_2.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/471/245/GCA_015471245.1_latCor_2.0		2038820311	41	2	No	45.85	90.5	89.5	1	2.2	7.3
GCA_016801065.1	9220701	190870	Sceloporus tristichus (plateau fence lizard)	Sceloporus tristichus	ASM1680106v1	GCA_016801065.1	reference genome		Chromosome	2021/02/04 00:00	haploid	91782	269060969	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/801/065/GCA_016801065.1_ASM1680106v1/GCA_016801065.1_ASM1680106v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/801/065/GCA_016801065.1_ASM1680106v1		1815771249	41	2	Yes	34.91	95	92.4	2.6	1.6	3.4
GCA_016801415.1	9220691	190870	Sceloporus tristichus (plateau fence lizard)	Sceloporus tristichus	ASM1680141v1	GCA_016801415.1	na		Chromosome	2021/02/04 00:00	haploid	90701		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/801/415/GCA_016801415.1_ASM1680141v1/GCA_016801415.1_ASM1680141v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/801/415/GCA_016801415.1_ASM1680141v1				2	Yes	NA	NA	NA	NA	NA	NA
GCA_017656035.1	9687561	2777982	Myanophis thanlyinensis (snakes)	Myanophis thanlyinensis	ASM1765603v1	GCA_017656035.1	reference genome		Scaffold	2021/04/01 00:00	haploid	7005	7375	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/656/035/GCA_017656035.1_ASM1765603v1/GCA_017656035.1_ASM1765603v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/656/035/GCA_017656035.1_ASM1765603v1		1315615078	39	1	No	33.14	36.5	36.1	0.4	27.9	35.7
GCA_018093825.1	9906471	35670	Naja naja (Indian cobra)	Naja naja	NN_10x_BNG	GCA_018093825.1	na		Scaffold	2021/04/19 00:00	haploid	58649		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/093/825/GCA_018093825.1_NN_10x_BNG/GCA_018093825.1_NN_10x_BNG_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/093/825/GCA_018093825.1_NN_10x_BNG				2	Yes	NA	NA	NA	NA	NA	NA
GCA_018340635.1	10035421	8724	Bothrops jararaca (jararaca)	Bothrops jararaca	Ibu_BjarHA_1.0	GCA_018340635.1	reference genome		Scaffold	2021/05/11 00:00	haploid	162550	164310	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/340/635/GCA_018340635.1_Ibu_BjarHA_1.0/GCA_018340635.1_Ibu_BjarHA_1.0_assembly_stats.txt	GCA_018340635.1_Ibu_BjarHA_1.0_genomic.gff.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/340/635/GCA_018340635.1_Ibu_BjarHA_1.0	86	1672323932	40.5	1	No	41.38	80.2	73	7.2	7.5	12.3
GCA_018446365.1	10117461	8729	Crotalus adamanteus (eastern diamondback rattlesnake)	Crotalus adamanteus	Cadam_11369	GCA_018446365.1	na		Scaffold	2021/05/25 00:00	haploid	338034		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/446/365/GCA_018446365.1_Cadam_11369/GCA_018446365.1_Cadam_11369_assembly_stats.txt	GCA_018446365.1_Cadam_11369_genomic.gff.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/446/365/GCA_018446365.1_Cadam_11369	796			2	Yes	NA	NA	NA	NA	NA	NA
GCA_019457695.1	10628361	1296673	Chrysopelea ornata (snakes)	Chrysopelea ornata	c.ornata.1	GCA_019457695.1	na		Scaffold	2021/08/06 00:00	haploid	1484		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/457/695/GCA_019457695.1_c.ornata.1/GCA_019457695.1_c.ornata.1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/457/695/GCA_019457695.1_c.ornata.1				1	No	NA	NA	NA	NA	NA	NA
GCA_019457695.2	18212111	1296673	Chrysopelea ornata (snakes)	Chrysopelea ornata	c.ornata.1	GCA_019457695.2	reference genome		Scaffold	2023/08/10 00:00	haploid	1484	1565	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/457/695/GCA_019457695.2_c.ornata.1/GCA_019457695.2_c.ornata.1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/457/695/GCA_019457695.2_c.ornata.1		1334282448	40.5	1	No	35.89	13.8	13.600000000000001	0.2	22	64.2
GCA_019472885.1	10632381	355685	Hydrophis curtus (Shaw's sea snake)	Hydrophis curtus	HCur_v2	GCA_019472885.1	na		Chromosome	2021/08/09 00:00	haploid	9704100		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/472/885/GCA_019472885.1_HCur_v2/GCA_019472885.1_HCur_v2_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/472/885/GCA_019472885.1_HCur_v2				2	Yes	NA	NA	NA	NA	NA	NA
GCA_019473425.1	10632371	8686	Hydrophis cyanocinctus (Asian annulated sea snake)	Hydrophis cyanocinctus	HCya_v2	GCA_019473425.1	reference genome		Chromosome	2021/08/09 00:00	haploid	18985681	264245889	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/473/425/GCA_019473425.1_HCya_v2/GCA_019473425.1_HCya_v2_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/473/425/GCA_019473425.1_HCya_v2		1980712740	40.5	2	Yes	50.66	92.3	89.7	2.6	1.4	6.3
GCA_019677565.1	10737281	94857	Pituophis catenifer pumilus (gopher snake)	Pituophis catenifer	AU_Pcat_1.0	GCA_019677565.1	na		Scaffold	2021/08/18 00:00	haploid	7987		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/677/565/GCA_019677565.1_AU_Pcat_1.0/GCA_019677565.1_AU_Pcat_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/677/565/GCA_019677565.1_AU_Pcat_1.0				2	No	NA	NA	NA	NA	NA	NA
GCA_020142125.1	11004661	52577	Phrynosoma platyrhinos (Desert horned lizard)	Phrynosoma platyrhinos	MUOH_PhPlat_1.1	GCA_020142125.1	reference genome		Chromosome	2021/09/27 00:00	haploid	12043	273212747	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/142/125/GCA_020142125.1_MUOH_PhPlat_1.1/GCA_020142125.1_MUOH_PhPlat_1.1_assembly_stats.txt	GCA_020142125.1_MUOH_PhPlat_1.1_genomic.gff.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/142/125/GCA_020142125.1_MUOH_PhPlat_1.1	32712	1901839624	40.5	1	Yes	34.88	90.4	89.2	1.2	3.6	5.9
GCA_020711275.1	11363021	48253	Calotes versicolor (garden lizard)	Calotes versicolor	ASM2071127v1	GCA_020711275.1	reference genome		Scaffold	2021/11/02 00:00	haploid	1066	1066	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/711/275/GCA_020711275.1_ASM2071127v1/GCA_020711275.1_ASM2071127v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/711/275/GCA_020711275.1_ASM2071127v1		1334025125	42.5	1	No	31.67	8.1	8.1	0	18	73.9
GCA_021028975.1	11537281	933632	Sphaerodactylus townsendi (lizards & snakes)	Sphaerodactylus townsendi	MPM_Stown_v2.2	GCA_021028975.1	na		Chromosome	2021/12/03 00:00	haploid	9477642		not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/028/975/GCA_021028975.1_MPM_Stown_v2.2/GCA_021028975.1_MPM_Stown_v2.2_assembly_stats.txt	GCA_021028975.1_MPM_Stown_v2.2_genomic.gff.gz	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/028/975/GCA_021028975.1_MPM_Stown_v2.2	33808			1	Yes	NA	NA	NA	NA	NA	NA
GCA_021292165.1	11679181	52224	Shinisaurus crocodilurus (Chinese crocodile lizard)	Shinisaurus crocodilurus	IOZ_Scro_1.0	GCA_021292165.1	reference genome		Chromosome	2021/12/28 00:00	haploid	3338364	296945371	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/292/165/GCA_021292165.1_IOZ_Scro_1.0/GCA_021292165.1_IOZ_Scro_1.0_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/292/165/GCA_021292165.1_IOZ_Scro_1.0		2189995079	45	1	Yes	42.76	96.9	89.30000000000001	7.6	0.8	2.3
GCA_022379055.1	12220081	261707	Anilios bituberculatus (prong-snouted blind snake)	Anilios bituberculatus	ASM2237905v1	GCA_022379055.1	reference genome		Scaffold	2022/02/23 00:00	haploid	1591	1985	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/379/055/GCA_022379055.1_ASM2237905v1/GCA_022379055.1_ASM2237905v1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/379/055/GCA_022379055.1_ASM2237905v1		1642818667	40	1	No	30.51	17.1	16.900000000000002	0.2	26.2	56.7
GCA_022410635.1	12241461	88860	Tretioscincus oriximinensis (lizards & snakes)	Tretioscincus oriximinensis	HLtreOri1	GCA_022410635.1	reference genome		Scaffold	2022/02/28 00:00	haploid	71375	1528078	not_annotated	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/410/635/GCA_022410635.1_HLtreOri1/GCA_022410635.1_HLtreOri1_assembly_stats.txt		ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/410/635/GCA_022410635.1_HLtreOri1		1563094034	40.5	1	No	35.52	93.7	92.2	1.5	1.7	4.5
